GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement Coverage,Branch Coverage,Code Complexity
Apache Commons Codec,org.apache.commons.codec.language,MatchRatingApproachEncoder,0,654,2,78,0,114,2,51,0,13,100,97.5,53
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic,5,585,6,80,2,84,6,45,0,8,97.6744186,93.02325581,51
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneBuffer,0,44,0,0,0,11,0,4,0,4,100,0,4
Apache Commons Codec,org.apache.commons.codec.language,Metaphone,4,713,14,146,2,166,14,87,0,12,98.80952381,91.25,101
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.new Comparator() {...},0,9,0,0,0,2,0,2,0,2,100,0,2
Apache Commons Codec,org.apache.commons.codec.language,SoundexUtils,0,92,0,18,0,21,0,13,0,4,100,100,13
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone,39,3085,39,399,7,409,37,232,0,39,98.31730769,91.09589041,269
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.Branch,4,119,3,17,2,28,3,14,0,7,93.33333333,85,17
Apache Commons Codec,org.apache.commons.codec.language,Soundex,7,227,2,32,3,48,4,26,2,11,94.11764706,94.11764706,30
Apache Commons Codec,org.apache.commons.codec.language,Caverphone,38,0,2,0,9,0,6,0,5,0,0,0,6
Apache Commons Codec,org.apache.commons.codec.language,AbstractCaverphone,0,24,0,2,0,6,0,4,0,3,100,100,4
Apache Commons Codec,org.apache.commons.codec.language,Caverphone2,0,316,0,4,0,64,0,4,0,2,100,100,4
Apache Commons Codec,org.apache.commons.codec.language,DoubleMetaphone.DoubleMetaphoneResult,0,153,0,12,0,37,0,18,0,12,100,100,18
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneInputBuffer,19,45,0,0,3,11,1,5,1,5,78.57142857,0,6
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex,86,548,14,76,8,127,14,41,0,10,94.07407407,84.44444444,55
Apache Commons Codec,org.apache.commons.codec.language,Caverphone1,0,301,0,4,0,61,0,4,0,2,100,100,4
Apache Commons Codec,org.apache.commons.codec.language,DaitchMokotoffSoundex.Rule,28,77,0,16,2,16,1,13,1,5,88.88888889,100,14
Apache Commons Codec,org.apache.commons.codec.language,Nysiis,0,464,0,74,0,86,0,46,0,9,100,100,46
Apache Commons Codec,org.apache.commons.codec.language,RefinedSoundex,0,125,1,13,0,36,1,15,0,9,100,92.85714286,16
Apache Commons Codec,org.apache.commons.codec.language,ColognePhonetic.CologneOutputBuffer,0,33,0,0,0,9,0,3,0,3,100,0,3
Apache Commons Codec,org.apache.commons.codec.digest,HmacUtils,36,258,0,4,12,58,0,43,0,41,82.85714286,100,43
Apache Commons Codec,org.apache.commons.codec.digest,Sha2Crypt,16,773,3,37,3,125,3,24,0,7,97.65625,92.5,27
Apache Commons Codec,org.apache.commons.codec.digest,Crypt,0,50,0,8,0,13,0,9,0,5,100,100,9
Apache Commons Codec,org.apache.commons.codec.digest,Md5Crypt,0,342,1,27,0,66,1,21,0,8,100,96.42857143,22
Apache Commons Codec,org.apache.commons.codec.digest,B64,0,63,0,4,0,11,0,5,0,3,100,100,5
Apache Commons Codec,org.apache.commons.codec.digest,UnixCrypt,6,5951,1,27,1,150,2,26,1,13,99.33774834,96.42857143,28
Apache Commons Codec,org.apache.commons.codec.digest,MessageDigestAlgorithms,3,0,0,0,2,0,1,0,1,0,0,0,1
Apache Commons Codec,org.apache.commons.codec.digest,HmacAlgorithms,9,70,0,0,0,10,2,3,2,3,100,0,5
Apache Commons Codec,org.apache.commons.codec.digest,DigestUtils,9,227,0,2,3,61,3,53,3,52,95.3125,100,56
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodec.Context,59,3,0,0,3,2,1,1,1,1,40,0,2
Apache Commons Codec,org.apache.commons.codec.binary,Base32OutputStream,0,24,0,0,0,6,0,3,0,3,100,0,3
Apache Commons Codec,org.apache.commons.codec.binary,StringUtils,12,142,2,16,1,34,2,26,0,19,97.14285714,88.88888889,28
Apache Commons Codec,org.apache.commons.codec.binary,Base32,145,2268,14,61,15,150,15,39,1,11,90.90909091,81.33333333,54
Apache Commons Codec,org.apache.commons.codec.binary,Base64InputStream,0,24,0,0,0,6,0,3,0,3,100,0,3
Apache Commons Codec,org.apache.commons.codec.binary,BinaryCodec,0,338,0,50,0,57,0,38,0,13,100,100,38
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodec,1,403,2,56,0,79,2,47,0,20,100,96.55172414,49
Apache Commons Codec,org.apache.commons.codec.binary,Hex,7,369,1,13,1,48,2,22,1,16,97.95918367,92.85714286,24
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodecOutputStream,0,152,1,21,0,38,1,16,0,6,100,95.45454545,17
Apache Commons Codec,org.apache.commons.codec.binary,Base64OutputStream,0,24,0,0,0,6,0,3,0,3,100,0,3
Apache Commons Codec,org.apache.commons.codec.binary,BaseNCodecInputStream,14,194,1,33,3,44,3,22,2,6,93.61702128,97.05882353,25
Apache Commons Codec,org.apache.commons.codec.binary,Base64,30,1910,7,95,4,144,8,72,1,26,97.2972973,93.1372549,80
Apache Commons Codec,org.apache.commons.codec.binary,Base32InputStream,0,24,0,0,0,6,0,3,0,3,100,0,3
Apache Commons Codec,org.apache.commons.codec.binary,CharSequenceUtils,61,0,14,0,18,0,9,0,2,0,0,0,9
Apache Commons Codec,org.apache.commons.codec,StringEncoderComparator,6,30,0,0,3,11,1,2,1,2,78.57142857,0,3
Apache Commons Codec,org.apache.commons.codec,CharEncoding,0,3,0,0,0,1,0,1,0,1,100,0,1
Apache Commons Codec,org.apache.commons.codec,DecoderException,0,16,0,0,0,8,0,4,0,4,100,0,4
Apache Commons Codec,org.apache.commons.codec,EncoderException,0,16,0,0,0,8,0,4,0,4,100,0,4
Apache Commons Codec,org.apache.commons.codec,Charsets,5,30,1,3,1,8,2,4,1,3,88.88888889,75,6
Apache Commons Codec,org.apache.commons.codec.net,BCodec,27,119,2,18,7,37,3,21,1,13,84.09090909,90,24
Apache Commons Codec,org.apache.commons.codec.net,QCodec,27,335,2,40,7,97,3,35,1,16,93.26923077,95.23809524,38
Apache Commons Codec,org.apache.commons.codec.net,Utils,0,25,0,2,0,5,0,3,0,2,100,100,3
Apache Commons Codec,org.apache.commons.codec.net,QuotedPrintableCodec,13,522,2,80,4,119,4,62,2,23,96.74796748,97.56097561,66
Apache Commons Codec,org.apache.commons.codec.net,URLCodec,3,346,0,46,1,86,1,37,1,14,98.85057471,100,38
Apache Commons Codec,org.apache.commons.codec.net,RFC1522Codec,8,169,2,16,2,38,2,11,0,4,95,88.88888889,13
Apache Commons Codec,org.apache.commons.codec.language.bm,Languages.SomeLanguages,7,126,2,14,3,27,3,14,1,8,90,87.5,17
