GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement Coverage,Branch Coverage,CC
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.IdentityPreconditioner,0,7,0,0,0,2,0,2,0,2,100,0,2
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.Formula,5,33,0,0,0,3,1,3,1,3,100,0,4
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.new Object() {...},2,17,0,0,0,1,0,1,0,1,100,0,1
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer,30,297,5,28,10,61,7,19,2,7,85.91549296,84.84848485,26
Apache Commons Math,org.apache.commons.math3.optim.nonlinear.scalar.gradient,NonLinearConjugateGradientOptimizer.BracketingStep,9,0,0,0,4,0,2,0,2,0,0,0,2
Apache Commons Math,org.apache.commons.math3.ml.neuralnet.sofm.util,QuasiSigmoidDecayFunction,0,83,0,6,0,18,0,5,0,2,100,100,5
Apache Commons Math,org.apache.commons.math3.ml.neuralnet.sofm.util,ExponentialDecayFunction,0,70,0,8,0,13,0,6,0,2,100,100,6
Apache Commons Math,org.apache.commons.math3.optimization.univariate,SimpleUnivariateValueChecker,6,67,2,8,3,16,3,6,1,3,84.21052632,80,9
Apache Commons Math,org.apache.commons.math3.optimization.univariate,BaseAbstractUnivariateOptimizer,8,94,2,2,2,27,2,11,0,11,93.10344828,50,13
Apache Commons Math,org.apache.commons.math3.optimization.univariate,UnivariatePointValuePair,0,15,0,0,0,6,0,3,0,3,100,0,3
Apache Commons Math,org.apache.commons.math3.optimization.univariate,BracketFinder,80,324,16,30,17,76,17,18,5,7,81.72043011,65.2173913,35
Apache Commons Math,org.apache.commons.math3.optimization.univariate,BrentOptimizer,23,470,5,69,6,116,5,37,0,5,95.08196721,93.24324324,42
Apache Commons Math,org.apache.commons.math3.optimization.univariate,UnivariateMultiStartOptimizer,24,134,4,10,5,28,6,9,2,6,84.84848485,71.42857143,15
