GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Pool,org.apache.commons.pool2.impl,DefaultPooledObject,47,261,4,24,10,78,6,31,2,21
Apache Commons Pool,org.apache.commons.pool2.impl,LinkedBlockingDeque.Itr,0,14,0,0,0,3,0,3,0,3
Apache Commons Pool,org.apache.commons.pool2.impl,ThrowableCallStack,5,64,0,6,0,19,0,7,0,4
Apache Commons Pool,org.apache.commons.pool2.impl,AbandonedConfig,65,76,0,0,15,29,1,15,1,15
Apache Commons Pool,org.apache.commons.pool2.impl,EvictionConfig,38,37,0,4,9,12,1,6,1,4
Apache Commons Pool,org.apache.commons.pool2.impl,BaseObjectPoolConfig,165,169,0,0,43,65,6,33,6,33
Apache Commons Pool,org.apache.commons.pool2.impl,PooledSoftReference,5,52,0,0,0,15,0,5,0,5
Apache Commons Pool,org.apache.commons.pool2.impl,DefaultPooledObjectInfo,31,79,2,0,8,17,3,10,2,10
Apache Commons Pool,org.apache.commons.pool2.impl,CallStackUtils,25,19,3,3,7,6,5,3,2,3
Apache Commons Pool,org.apache.commons.pool2.impl,ThrowableCallStack.Snapshot,0,6,0,0,0,2,0,1,0,1
Apache Commons Pool,org.apache.commons.pool2.impl,SoftReferenceObjectPool,57,493,22,42,15,137,23,24,1,14
Apache Commons Pool,org.apache.commons.pool2.impl,DefaultEvictionPolicy,0,23,0,6,0,6,0,5,0,2
Apache Commons Pool,org.apache.commons.pool2.impl,GenericKeyedObjectPool.ObjectDeque,47,49,0,0,11,12,1,5,1,5
Apache Commons Pool,org.apache.commons.pool2.impl,BaseGenericObjectPool.IdentityWrapper,24,22,2,2,6,5,4,3,2,3
Apache Commons Pool,org.apache.commons.pool2.impl,GenericKeyedObjectPoolConfig,49,43,0,0,13,18,2,9,2,9
Apache Commons Pool,org.apache.commons.pool2.impl,BaseGenericObjectPool,38,926,7,23,12,252,6,69,1,59
Apache Commons Pool,org.apache.commons.pool2.impl,SecurityManagerCallStack.Snapshot,9,0,0,0,4,0,1,0,1,0
Apache Commons Pool,org.apache.commons.pool2.impl,EvictionTimer,15,46,0,4,6,15,2,4,2,2
Apache Commons Pool,org.apache.commons.pool2.impl,EvictionTimer.EvictorThreadFactory,0,19,0,0,0,4,0,2,0,2
Apache Commons Pool,org.apache.commons.pool2.impl,PoolImplUtils,13,147,11,23,5,34,12,10,1,4
Apache Commons Pool,org.apache.commons.pool2.impl,NoOpCallStack,3,9,0,0,2,4,2,3,2,3
Apache Commons Pool,org.apache.commons.pool2.impl,LinkedBlockingDeque.Node,0,12,0,0,0,5,0,1,0,1
Apache Commons Pool,org.apache.commons.pool2.impl,GenericObjectPool,178,1278,38,148,48,366,35,96,7,31
Apache Commons Pool,org.apache.commons.pool2.impl,LinkedBlockingDeque.AbstractItr,24,125,2,16,1,38,2,13,0,6
Apache Commons Pool,org.apache.commons.pool2.impl,SecurityManagerCallStack.PrivateSecurityManager,37,0,2,0,6,0,3,0,2,0
Apache Commons Pool,org.apache.commons.pool2.impl,BaseGenericObjectPool.StatsStore,0,131,0,8,0,28,0,8,0,4
Apache Commons Pool,org.apache.commons.pool2.impl,LinkedBlockingDeque.DescendingItr,0,14,0,0,0,3,0,3,0,3
Apache Commons Pool,org.apache.commons.pool2.impl,BaseGenericObjectPool.EvictionIterator,4,33,0,2,2,9,1,5,1,4
Apache Commons Pool,org.apache.commons.pool2.impl,SecurityManagerCallStack,93,0,8,0,22,0,8,0,4,0
Apache Commons Pool,org.apache.commons.pool2.impl,BaseGenericObjectPool.Evictor,27,47,2,2,8,17,2,4,0,4
Apache Commons Pool,org.apache.commons.pool2.impl,SecurityManagerCallStack.new PrivilegedAction() {...},11,0,0,0,2,0,2,0,2,0
Apache Commons Pool,org.apache.commons.pool2.impl,LinkedBlockingDeque,255,1060,16,102,50,292,16,104,2,59
Apache Commons Pool,org.apache.commons.pool2.impl,InterruptibleReentrantLock,0,22,0,2,0,7,0,3,0,2
Apache Commons Pool,org.apache.commons.pool2.impl,EvictionTimer.EvictorThreadFactory.new PrivilegedAction() {...},0,16,0,0,0,3,0,2,0,2
Apache Commons Pool,org.apache.commons.pool2.impl,GenericKeyedObjectPool,374,1709,52,182,81,480,44,115,5,37
Apache Commons Pool,org.apache.commons.pool2.impl,GenericObjectPoolConfig,40,33,0,0,11,13,2,7,2,7
Apache Commons Pool,org.apache.commons.pool2,BasePooledObjectFactory,0,13,0,0,0,6,0,6,0,6
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.ErodingPerKeyKeyedObjectPool,0,53,0,2,0,11,0,4,0,3
Apache Commons Pool,org.apache.commons.pool2,BaseObject,1,27,0,0,1,7,1,2,1,2
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.SynchronizedObjectPool,57,144,1,1,7,52,1,10,0,10
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.SynchronizedKeyedObjectPool,67,197,0,2,8,67,0,14,0,13
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.ErodingObjectPool,14,98,1,5,6,29,2,11,1,9
Apache Commons Pool,org.apache.commons.pool2,PoolUtils,5,265,1,43,1,72,1,39,0,18
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.ErodingFactor,0,72,0,0,0,13,0,4,0,4
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.KeyedObjectPoolMinIdleTimerTask,17,80,5,5,2,22,4,4,0,3
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.SynchronizedKeyedPooledObjectFactory,30,107,0,2,2,32,0,8,0,7
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.ErodingKeyedObjectPool,30,122,2,6,10,36,5,15,3,13
Apache Commons Pool,org.apache.commons.pool2,BaseObjectPool,0,44,0,2,0,15,0,10,0,9
Apache Commons Pool,org.apache.commons.pool2,BaseKeyedPooledObjectFactory,0,14,0,0,0,6,0,6,0,6
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.ObjectPoolMinIdleTimerTask,17,66,5,5,2,20,4,4,0,3
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.TimerHolder,0,9,0,0,0,2,0,2,0,2
Apache Commons Pool,org.apache.commons.pool2,PooledObjectState,9,109,0,0,0,11,2,2,2,2
Apache Commons Pool,org.apache.commons.pool2,PoolUtils.SynchronizedPooledObjectFactory,30,102,0,2,2,32,0,8,0,7
Apache Commons Pool,org.apache.commons.pool2.proxy,ProxiedKeyedObjectPool,48,71,1,1,12,23,5,9,4,9
Apache Commons Pool,org.apache.commons.pool2.proxy,CglibProxyHandler,0,10,0,0,0,3,0,2,0,2
Apache Commons Pool,org.apache.commons.pool2.proxy,ProxiedObjectPool,29,71,1,1,7,24,2,9,1,9
Apache Commons Pool,org.apache.commons.pool2.proxy,JdkProxySource,30,41,0,0,7,11,1,3,1,3
Apache Commons Pool,org.apache.commons.pool2.proxy,JdkProxyHandler,0,10,0,0,0,3,0,2,0,2
Apache Commons Pool,org.apache.commons.pool2.proxy,BaseProxyHandler,35,46,0,4,8,16,1,7,1,5
Apache Commons Pool,org.apache.commons.pool2.proxy,CglibProxySource,20,39,0,0,5,13,1,3,1,3
